"","widthsACT","namesACT"
"1",2,"reportYear"
"2",25,"lastName"
"3",16,"firstName"
"4",1,"middleInitial"
"5",40,"address"
"6",2,"countryCode"
"7",1,"genderNumaric"
"8",1,"genderAlpha"
"9",2,"gradeLevel"
"10",9,"actID"
"11",1,"phoneType"
"12",6,"dateOfBirth"
"13",10,"phoneNum"
"14",25,"city"
"15",2,"stateNum"
"16",2,"stateAlpha"
"17",9,"zipcode"
"18",8,"dateOfBirthExtended"
"19",2,"scoreEW"
"20",2,"scoreWR"
"21",4,"blank1"
"22",8,"essayComments"
"23",13,"blank2"
"24",13,"stateID"
"25",6,"highSchoolCode"
"26",2,"hsGradeEnglish"
"27",2,"hsGradeMath"
"28",2,"hsGradeSS"
"29",2,"hsGradeNS"
"30",1,"blank3"
"31",3,"hsAvg"
"32",4,"hsGradYear"
"33",6,"testDateExpanded"
"34",4,"testDate"
"35",3,"stateRankEnglish"
"36",3,"stateRankMath"
"37",3,"stateRankReading"
"38",3,"stateRankScience"
"39",1,"testLocation"
"40",2,"candadianProvince"
"41",1,"blank4"
"42",7,"canadaPostCode"
"43",1,"correctedReport"
"44",2,"scaleEnglish"
"45",2,"scaleMath"
"46",2,"scaleReading"
"47",2,"scaleScience"
"48",2,"scaleComposite"
"49",1,"blank5"
"50",3,"sumScaleScores"
"51",3,"stateRank"
"52",1,"blank6"
"53",2,"blank7"
"54",2,"interestSciAndTech"
"55",2,"blank8"
"56",2,"interestArts"
"57",2,"blank9"
"58",2,"interestSocial"
"59",2,"blank10"
"60",2,"interestAdminSales"
"61",2,"blank11"
"62",2,"interestBuisOps"
"63",2,"blank12"
"64",2,"interestTechnical"
"65",6,"worldOfWork"
"66",11,"blank13"
"67",2,"scaleSubUsageMechanics"
"68",2,"scaleSubRehtorical"
"69",2,"scaleSubElemAlgebra"
"70",2,"scaleSubAlgCoordGeom"
"71",2,"scaleSubPlaneGeomTrig"
"72",2,"scaleSubSocSci"
"73",2,"scaleSubArtsLit"
"74",3,"stateRankSTEM"
"75",3,"stateRankELA"
"76",29,"blank14"
"77",2,"interestInvSciAndTech"
"78",2,"interestInvArts"
"79",2,"interstInvSocialService"
"80",2,"interstInvAdminSales"
"81",2,"interstInvBuisOps"
"82",2,"interestInvTechnical"
"83",10,"localID"
"84",10,"blank15"
"85",150,"studentProfileSection"
"86",50,"blank16"
"87",4,"language"
"88",1,"eosRelease"
"89",2,"religiousAffiliation"
"90",23,"blank17"
"91",30,"coursesTakenOrPlanned"
"92",30,"gradesEarned"
"93",10,"stateIDNum"
"94",24,"collegeChoices"
"95",58,"blank18"
"96",1,"ranksType"
"97",7,"blank19"
"98",2,"subjectScoreWriting"
"99",3,"subjectUSRankWriting"
"100",2,"domainIdeasAnalysis"
"101",2,"domainDevelopmentSupport"
"102",2,"domainOrganization"
"103",2,"domainLanUseConventions"
"104",2,"subjectScoreWriting2_12"
"105",2,"scoreELA"
"106",3,"usRankELA"
"107",2,"blank20"
"108",2,"scoreSTEM"
"109",3,"usRankSTEM"
"110",2,"blank21"
"111",1,"UCTI"
"112",1,"PTCRI"
"113",2,"pointsEarnedPOW"
"114",2,"pointsPosPOW"
"115",3,"percentCorrectPOW"
"116",3,"readinessRangeLowerPOW"
"117",2,"pointsEarnedKOL"
"118",2,"pointsPosKOL"
"119",3,"percentCorrectKOL"
"120",3,"readinessRangeLowerKOL"
"121",2,"pointsEarnedCOSE"
"122",2,"pointsPosCOSE"
"123",3,"percentCorrectCOSE"
"124",3,"readinessRangeLowerCOSE"
"125",2,"pointsEarnedPHM"
"126",2,"pointsPosPHM"
"127",3,"percentCorrectPHM"
"128",3,"readinessRangeLowerPHM"
"129",2,"pointsEarnedNAQ"
"130",2,"pointsPosNAQ"
"131",3,"percentCorrectNAQ"
"132",3,"readinessRangeLowerNAQ"
"133",2,"pointsEarnedALG"
"134",2,"pointsPosALG"
"135",3,"percentCorrectALG"
"136",3,"readinessRangeLowerALG"
"137",2,"pointsEarnedFUN"
"138",2,"pointsPosFUN"
"139",3,"percentCorrectFUN"
"140",3,"readinessRangeLowerFUN"
"141",2,"pointsEarnedGEO"
"142",2,"pointsPosGEO"
"143",3,"percentCorrectGEO"
"144",3,"readinessRangeLowerGEO"
"145",2,"pointsEarnedSAP"
"146",2,"pointsPosSAP"
"147",3,"percentCorrectSAP"
"148",3,"readinessRangeLowerSAP"
"149",2,"pointsEarnedIES"
"150",2,"pointsPosIES"
"151",3,"percentCorrectIES"
"152",3,"readinessRangeLowerIES"
"153",2,"pointsEarnedMDL"
"154",2,"pointsPosMDL"
"155",3,"percentCorrectMDL"
"156",3,"readinessRangeLowerMDL"
"157",10,"blank22"
"158",2,"pointsEarnedKID"
"159",2,"pointsPosKID"
"160",3,"percentCorrectKID"
"161",3,"readinessRangeLowerKID"
"162",2,"pointsEarnedCAS"
"163",2,"pointsPosCAS"
"164",3,"percentCorrectCAS"
"165",3,"readinessRangeLowerCAS"
"166",2,"pointsEarnedIKI"
"167",2,"pointsPosIKI"
"168",3,"percentCorrectIKI"
"169",3,"readinessRangeLowerIKI"
"170",2,"pointsEarnedIOD"
"171",2,"pointsPosIOD"
"172",3,"percentCorrectIOD"
"173",3,"readinessRangeLowerIOD"
"174",2,"pointsEarnedSIV"
"175",2,"pointsPosSIV"
"176",3,"percentCorrectSIV"
"177",3,"readinessRangeLowerSIV"
"178",2,"pointsEarnedEOM"
"179",2,"pointsPosEOM"
"180",3,"percentCorrectEOM"
"181",3,"readinessRangeLowerEOM"
"182",6,"usRanksEWWR"
"183",3,"usRanksScaleUsageMechanics"
"184",3,"usRanksScaleRehtorical"
"185",3,"usRanksScaleElmAlg"
"186",3,"usRanksScaleAlgCoordGeo"
"187",3,"usRanksScalePlaneGeoTrig"
"188",3,"usRanksScaleSocialScience"
"189",3,"usRanksScaleArtLit"
"190",3,"usRanksScaleEnglish"
"191",3,"usRanksScaleMath"
"192",3,"usRanksScaleReading"
"193",3,"usRanksScaleScience"
"194",3,"usRanksScaleComposite"
